Wahlkreisnummer,Wahlkreisname,Stadtteilnummer,Stadtteilname,Wahlbezirksnummer,Wahlbezirksname,Wahlberechtigte insgesamt,Wahlberechtigte mit Wahlschein,Wähler/-innen,Gültige Erststimmen,"Wellenreuther, Ingo (CDU)","Marvi, Parsa (SPD)","Kotting-Uhl, Sylvia (GRÜNE)","Theurer, Michael (FDP)","Bernhard, Marc (AfD)","Brandt, Michel (DIE LINKE)","Margic, Robin (Tierschutzpartei)","Dachner, Jonas (MLPD)","Kasper, Uwe (DIE RECHTE)","Glause, Stefan (Die PARTEI)","Mayer, Bruno (Kennwort: Bürgerkandidat)",Gültige Zweitstimmen,CDU,SPD,GRÜNE,FDP,AfD,DIE LINKE,PIRATEN,NPD,Tierschutzpartei,FREIE WÄHLER,ÖDP,MLPD,Tierschutzallianz,BGE,DiB,DKP,DM,DIE RECHTE,MENSCHLICHE WELT,Die PARTEI,V-Partei³
271,Karlsruhe-Stadt,21,Stupferich,021-01,Nördl. Teil,718,216,402,395,165,70,45,37,43,21,8,0,0,4,2,401,152,39,53,66,47,20,0,2,5,6,0,0,2,2,0,0,1,0,1,5,0
271,Karlsruhe-Stadt,21,Stupferich,021-02,Westlich Friedhof,803,268,437,435,172,98,43,52,43,19,4,0,0,4,0,437,164,80,54,65,47,21,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0
271,Karlsruhe-Stadt,21,Stupferich,021-03,Östl. Teil,636,177,354,351,127,72,45,45,35,13,6,0,1,3,4,352,124,58,44,51,40,17,3,1,3,7,0,0,0,1,0,0,0,0,1,2,0
271,Karlsruhe-Stadt,22,Hohenwettersbach,022-01,Rehbuckel,1000,267,611,607,214,122,103,75,64,18,7,0,1,3,0,607,205,76,107,115,63,24,1,0,8,0,2,0,0,0,0,0,0,0,1,4,1
271,Karlsruhe-Stadt,22,Hohenwettersbach,022-02,Südl. Rathaus,1172,316,731,725,243,205,136,50,40,29,7,1,2,10,2,727,235,121,159,96,43,46,2,2,7,2,4,1,1,0,1,0,0,0,0,6,1
271,Karlsruhe-Stadt,23,Wolfartsweier,023-01,Wettersteinstr.,772,187,423,419,127,102,49,43,44,34,10,0,0,9,1,420,118,75,60,50,54,32,2,0,8,5,1,0,3,0,1,0,0,0,1,10,0
271,Karlsruhe-Stadt,23,Wolfartsweier,023-02,Südl. Ringstr.,740,148,416,415,116,105,57,41,50,32,8,0,0,6,0,415,113,93,45,57,48,34,2,2,10,0,0,0,3,2,0,0,2,0,0,4,0
271,Karlsruhe-Stadt,23,Wolfartsweier,023-03,Zündhütle/Steinhofstr.,889,301,481,477,158,127,60,43,45,29,7,0,0,8,0,479,158,89,72,60,48,30,2,0,1,2,1,0,1,0,2,1,0,0,0,10,2
271,Karlsruhe-Stadt,24,Grünwettersbach,024-01,Nordwestl. Teil,871,268,489,484,174,108,54,43,59,26,8,0,1,9,2,486,153,92,65,65,61,35,1,1,4,1,1,0,2,0,0,0,1,0,0,4,0
271,Karlsruhe-Stadt,24,Grünwettersbach,024-02,Südl. Am Wetterbach,761,209,420,412,168,94,45,49,34,17,2,0,0,2,1,413,164,68,52,61,40,15,1,0,1,0,2,1,2,1,1,0,1,0,0,3,0
271,Karlsruhe-Stadt,24,Grünwettersbach,024-03,Östl. Teil,720,206,438,434,176,95,58,39,44,11,3,0,0,5,3,434,165,77,57,55,46,18,1,0,5,6,0,0,0,0,0,0,3,0,0,1,0
271,Karlsruhe-Stadt,24,Grünwettersbach,024-04,Nordöstl. Am Wetterbach,777,224,468,465,178,113,58,40,48,18,5,0,0,5,0,467,167,79,64,72,53,18,0,1,3,1,2,0,0,0,1,0,2,0,0,4,0
271,Karlsruhe-Stadt,25,Palmbach,025-01,Nordöstl. Teil,724,206,421,418,148,96,54,42,41,24,5,0,0,5,3,419,147,78,48,57,48,29,1,0,0,3,0,0,1,0,0,0,1,0,1,5,0
271,Karlsruhe-Stadt,25,Palmbach,025-02,Südl. Teil,725,168,458,456,172,100,58,42,54,17,6,0,0,7,0,456,154,77,76,65,55,14,0,2,7,1,0,0,0,3,1,0,0,0,0,1,0
271,Karlsruhe-Stadt,26,Neureut,026-01,Südl. Welschneureuter Str.,1004,222,586,579,169,124,62,76,82,43,11,0,1,9,2,581,172,104,66,83,84,43,3,1,4,3,1,0,3,0,0,0,1,1,2,9,1
271,Karlsruhe-Stadt,26,Neureut,026-02,Am Alten Bahnhof,1049,281,516,510,141,129,66,50,77,25,5,0,1,14,2,512,135,106,76,61,80,32,1,3,3,4,3,0,0,0,0,0,0,1,0,6,1
271,Karlsruhe-Stadt,26,Neureut,026-03,Südöstl. Schulzentrum,849,165,500,489,188,91,37,66,72,28,5,1,0,1,0,489,182,73,36,78,76,32,1,0,9,0,0,0,1,0,0,0,0,0,0,1,0
271,Karlsruhe-Stadt,26,Neureut,026-04,Rathaus Neureut,962,233,569,566,191,144,66,56,60,37,5,1,0,6,0,568,184,105,74,83,67,37,5,1,5,0,0,0,0,0,0,0,0,0,0,6,1
271,Karlsruhe-Stadt,26,Neureut,026-05,Badnerlandhalle,1069,233,546,534,147,135,42,55,102,39,9,0,0,5,0,535,147,109,46,62,99,50,0,1,4,2,0,0,0,2,3,0,0,0,1,7,2
271,Karlsruhe-Stadt,26,Neureut,026-06,Nordöstl. Hallenbad,1196,263,612,608,186,128,77,63,105,33,10,0,0,6,0,607,188,117,69,70,96,39,4,2,4,1,1,0,1,0,0,0,2,1,2,10,0
271,Karlsruhe-Stadt,26,Neureut,026-07,Nordöstl. Mitteltorstr.,1095,254,617,612,206,160,69,65,79,20,4,0,1,6,2,613,189,127,73,76,87,34,5,0,10,1,2,0,2,0,0,0,0,1,0,5,1
271,Karlsruhe-Stadt,26,Neureut,026-08,Nördl. Teutschneureuter Str.,1198,267,714,706,236,165,83,81,87,34,8,1,0,11,0,704,236,123,95,87,90,37,3,0,10,0,1,2,0,1,1,0,2,0,2,12,2
271,Karlsruhe-Stadt,26,Neureut,026-09,Kirchfeld Westl. Teil,1081,252,598,586,162,140,76,61,90,34,11,0,0,8,4,588,161,109,85,76,95,42,3,0,3,0,0,0,3,2,2,0,2,0,0,4,1
271,Karlsruhe-Stadt,26,Neureut,026-10,Kirchfeld Östl. Teil,1089,235,639,629,223,138,86,67,65,26,9,0,1,13,1,634,221,90,89,97,67,42,4,1,10,1,1,0,0,1,0,0,1,0,0,9,0
271,Karlsruhe-Stadt,26,Neureut,026-11,Heide Östl. Teil,827,252,476,470,166,100,64,53,52,26,3,0,0,5,1,469,161,68,78,72,52,25,2,0,0,3,0,0,1,1,3,0,0,0,0,3,0
271,Karlsruhe-Stadt,26,Neureut,026-12,Heide Westl. Teil,1074,293,625,616,196,153,89,68,47,45,5,0,0,11,2,617,204,101,92,72,56,61,2,0,7,3,1,0,0,2,3,0,0,0,1,9,3
271,Karlsruhe-Stadt,26,Neureut,026-13,Kirchfeld-Nord,1133,269,694,692,216,187,128,60,65,24,3,1,0,7,1,693,244,82,164,76,69,37,4,0,1,2,2,1,0,0,2,0,2,0,1,4,2
271,Karlsruhe-Stadt,27,Nordstadt,027-01,Hardwaldsiedlung Mitte West,1337,409,687,682,126,165,180,36,85,61,14,1,1,12,1,684,137,122,163,56,89,90,2,1,8,1,2,0,2,2,0,1,1,0,1,6,0
271,Karlsruhe-Stadt,27,Nordstadt,027-02,Hardwaldsiedlung / Michiganstr,1458,475,695,684,171,164,105,59,78,83,6,1,0,13,4,685,169,104,111,87,75,98,9,1,5,2,2,1,2,3,1,0,2,0,1,11,1
271,Karlsruhe-Stadt,27,Nordstadt,027-03,Rhode-Island-Allee,1248,259,755,749,177,181,105,61,120,74,14,0,0,16,1,751,164,125,128,71,120,96,4,0,14,4,1,1,2,2,3,0,6,0,0,9,1
271,Karlsruhe-Stadt,27,Nordstadt,027-04,Westlich Tennessee-Allee,1305,236,697,687,136,173,98,44,107,90,21,1,3,12,2,687,123,156,102,50,108,103,9,0,15,3,0,0,0,0,2,0,3,1,1,11,0
271,Karlsruhe-Stadt,27,Nordstadt,027-05,Kanalweg / Louisiana Drive,1174,241,737,733,113,215,160,32,81,109,12,0,1,9,1,735,131,107,200,46,79,132,5,2,5,0,2,1,1,3,5,0,3,2,2,8,1
271,Karlsruhe-Stadt,,Briefwahl,,,52624,52218,16212,11526,10255,5057,3859,3229,715,61,49,934,321,52433,16374,8146,10175,6925,4060,4234,315,36,406,208,156,32,77,181,192,9,72,17,75,653,90,,
